Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
E 450 4MATIC,2022,,,25.0,Automatic,3.0L,239,27,45
E 450 4MATIC All-Terrain (wagon),2022,,,24.0,Automatic,3.0L,239,27,45
E 450 4MATIC (Convertible),2022,,,24.0,Automatic,3.0L,239,27,45
E 450 4MATIC (Coupe),2022,,,24.0,Automatic,3.0L,239,27,45
E 450 (Convertible),2022,,,25.0,Automatic,3.0L,239,27,45
E 450 (Coupe),2022,,,25.0,Automatic,3.0L,239,27,45
EQS450+,2022,350.0,97.0,,Automatic,245 kW electric motor,239,27,41
EQS 580 4MATIC,2022,340.0,95.0,,Automatic,135 and 255 kW electric motors,239,27,41
GLE 450 4MATIC,2022,,,22.0,Automatic,3.0L,239,29,45
GLE 580 4MATIC,2022,,,18.0,Automatic,4.0L,239,29,45
GLS 450 4MATIC,2022,,,20.0,Automatic,3.0L,239,29,45
GLS 580 4MATIC,2022,,,18.0,Automatic,4.0L,239,29,45
GLS 600 4MATIC Maybach,2022,,,17.0,Automatic,4.0L,239,29,45
S 500 4MATIC,2022,,,24.0,Automatic,3.0L,239,27,45
S 580 4MATIC,2022,,,19.0,Automatic,4.0L,239,27,45
S 580 4MATIC Maybach,2022,,,18.0,Automatic,4.0L,239,27,45
Cooper SE Countryman ALL4,2022,18.0,73.0,29.0,Automatic,1.5L,425,27,57
Cooper SE Hardtop 2 door,2022,114.0,110.0,,Automatic,135 kW electric motor,425,27,41
Outlander PHEV,2022,24.0,74.0,26.0,Automatic,2.4L,263,29,57
Leaf (40 kWh battery pack),2022,149.0,111.0,,Automatic,110 kW electric motor,217,27,41
Leaf (62 kWh battery pack),2022,226.0,108.0,,Automatic,160 kW electric motor,217,27,41
Leaf SV/SL (62 kWh battery pack),2022,215.0,104.0,,Automatic,160 kW electric motor,217,27,41
Polestar 2 (Dual Motor),2022,249.0,89.0,,Automatic,150kW electric motors (X2),462,27,41
Polestar 2 (Single Motor),2022,270.0,107.0,,Automatic,170kW electric motor,462,27,41
Cayenne/Coupe/Platinum e-Hybrid,2022,17.0,46.0,21.0,Automatic,3.0L ,391,29,57
Cayenne Turbo S/Coupe e-Hybrid ,2022,15.0,42.0,18.0,Automatic,4.0L,391,29,57
Panamera 4 E-Hybrid Executive,2022,19.0,52.0,22.0,Automatic,2.9L,391,27,57
Panamera 4S E-Hybrid Executive,2022,19.0,50.0,22.0,Automatic,2.9L,391,27,57
Panamera Turbo S E-Hybrid Executive/ST,2022,17.0,48.0,19.0,Automatic,4.0L,391,27,57
Taycan 4 Cross Turismo,2022,215.0,76.0,,Automatic,175 and 320 kW electric motors,391,27,41
Taycan 4S Cross Turismo,2022,215.0,75.0,,Automatic,175 and 320 kW electric motors,391,27,41
Taycan 4S Perf Battery,2022,199.0,79.0,,Automatic,150 and 270 kW electric motors,391,27,41
Taycan 4S Perf Battery Plus,2022,227.0,77.0,,Automatic,175 and 320 kW electric motors,391,27,41
Taycan Perf Battery,2022,200.0,79.0,,Automatic,240 kW electric motor,391,27,41
Taycan Perf Battery Plus,2022,225.0,75.0,,Automatic,280 kW electric motor,391,27,41
Taycan Turbo,2022,212.0,73.0,,Automatic,170 and 335 kW electric motors,391,27,41
Taycan Turbo Cross Turismo,2022,204.0,72.0,,Automatic,175 and 355 kW electric motors,391,27,41
Taycan Turbo S,2022,201.0,70.0,,Automatic,190 and 335 kW electric motors,391,27,41
Taycan Turbo S Cross Turismo,2022,202.0,73.0,,Automatic,175 and 355 kW electric motors,391,27,41
1500 4X2,2022,,,22.0,Automatic,3.6L,349,25,45
1500 4X4,2022,,,19.0,Automatic,5.7L,349,25,45
1500 HFE 4X2,2022,,,23.0,Automatic,3.6L,349,25,45
R1S,2022,316.0,69.0,,Automatic,"162, 162, 163, 163 kW ",470,29,41
R1T,2022,314.0,70.0,,Automatic,"162, 162, 163, 163 kW ",470,25,41
Model 3 (Long Range) AWD,2022,353.0,131.0,,Automatic,98 kW and 195 kW electric motors,237,27,41
Model 3 Performance AWD,2022,315.0,113.0,,Automatic,131kW and 190 kW electric motors,237,27,41
Model 3 RWD,2022,272.0,132.0,,Automatic,192 kW electric motor,237,27,41
Model S ,2022,405.0,120.0,,Automatic,247 kW dual electric motors,237,27,41
"Model S Plaid (19"" Wheels)",2022,396.0,116.0,,Automatic,250 kW electric motors (X3),237,27,41
"Model S Plaid (21"" Wheels)",2022,348.0,101.0,,Automatic,250 kW electric motors (X3),237,27,41
Model X AWD,2022,348.0,102.0,,Automatic,243 and 248 kW electric motors,237,29,41
"Model X Plaid (20"" Wheels)",2022,333.0,98.0,,Automatic,230kW electric motors (X3),237,29,41
"Model X Plaid (22"" Wheels)",2022,311.0,91.0,,Automatic,230kW electric motors (X3),237,29,41
Model Y AWD,2022,279.0,123.0,,Automatic,91 and 200 kW electric motors,237,29,41
Model Y (Long Range) AWD,2022,330.0,122.0,,Automatic,91 and 200 kW electric motors,237,29,41
Model Y Performance AWD,2022,303.0,111.0,,Automatic,133 and 179 kW electric motors,237,29,41
Model Y RWD,2022,244.0,129.0,,Automatic,209 kW electric motor,237,29,41
Avalon Hybrid ,2022,,,43.0,Automatic,2.5L,221,27,45
Avalon Hybrid XLE,2022,,,44.0,Automatic,2.5L,221,27,45
Camry Hybrid LE,2022,,,52.0,Automatic,2.5L,221,27,45
Camry Hybrid SE/XLE/XSE,2022,,,46.0,Automatic,2.5L,221,27,45
Corolla Hybrid,2022,,,52.0,Automatic,1.8L,221,27,45
