Model_year,Make,Model,Vehicle Class,Motor(kw),Transmission,Fuel_type,Consumption_city(kwh/100km),Consumption_Hwy(kwh/100km),Consumption_comb(kwh/100km),Consumption_city(Le/100km),Consumption_Hwy(Le/100km),Consumption_comb(Le/100km),Range(km),CO2_Emissions(g/km),CO2 ,Smog_rating,Recharge_time(h)
2022,Ford,Mustang Mach-E California Route 1 AWD,SUV: Small,258.0,A1,B,20.0,22.9,21.3,2.3,2.6,2.4,502.0,0.0,10.0,10.0,10.1
2022,Ford,Mustang Mach-E GT Performance Edition,SUV: Small,358.0,A1,B,23.8,27.8,25.6,2.7,3.1,2.9,418.0,0.0,10.0,10.0,10.1
2022,Hyundai,IONIQ 5 Standard Range,Full-size,125.0,A1,B,16.2,22.4,19.3,1.9,2.5,2.1,354.0,0.0,10.0,10.0,6.3
2022,Hyundai,IONIQ 5 Long Range,Full-size,168.0,A1,B,15.5,21.7,18.6,1.8,2.4,2.1,488.0,0.0,10.0,10.0,8.5
2022,Hyundai,IONIQ 5 Long Range AWD,Full-size,239.0,A1,B,19.0,24.0,21.3,2.1,2.7,2.4,414.0,0.0,10.0,10.0,8.5
2022,Hyundai,Kona Electric,SUV: Small,150.0,A1,B,16.2,19.3,17.4,1.8,2.2,2.0,415.0,0.0,10.0,10.0,9.5
2022,Jaguar,I-PACE,SUV: Small,294.0,A1,B,27.0,29.4,28.1,3.0,3.3,3.2,357.0,0.0,10.0,10.0,13.0
2022,Kia,EV6 Standard Range,Station wagon: Small,125.0,A1,B,15.5,21.1,18.0,1.7,2.4,2.0,373.0,0.0,10.0,10.0,6.3
2022,Kia,EV6 Long Range,Station wagon: Small,168.0,A1,B,15.5,20.5,18.0,1.8,2.3,2.0,499.0,0.0,10.0,10.0,8.7
2022,Kia,EV6 Long Range AWD,Station wagon: Small,239.0,A1,B,18.0,22.4,19.9,2.0,2.5,2.2,441.0,0.0,10.0,10.0,8.4
2022,Kia,Niro EV,Station wagon: Small,150.0,A1,B,17.0,20.6,18.6,1.9,2.3,2.1,385.0,0.0,10.0,10.0,9.5
2022,Kia,Soul EV (120 Ah),Station wagon: Small,150.0,A1,B,15.6,20.4,17.8,1.8,2.3,2.0,248.0,0.0,10.0,10.0,6.0
2022,Kia,Soul EV (180 Ah),Station wagon: Small,150.0,A1,B,16.9,21.0,18.7,1.9,2.4,2.1,383.0,0.0,10.0,10.0,9.5
2022,Lucid,"Air Dream P AWD (19"" Wheels)",Full-size,829.0,A1,B,18.0,18.3,18.1,2.0,2.1,2.0,758.0,0.0,10.0,10.0,13.0
